,F/B,C,N,P,Uptake_Gene,Enz_Gene,Osmo_Gene,Uptake_Cost,Enz_Consti_Cost,Enz_Induci_Cost,Osmo_Consti_Cost,Osmo_Induci_Cost,Drought_tolerance
Tax1,1.0,25.0,2.5,0.2777777777777778,14.0,33.0,10.0,0.08443067295765239,8.785473054519801e-05,2.209161236243604e-05,7.701188678124887e-05,0.0008545110955649743,0.8435576522734355
Tax2,1.0,25.0,2.5,0.2777777777777778,14.0,24.0,10.0,0.06651224544956628,8.487445151068137e-05,9.028957593094263e-05,6.278911913409886e-05,0.00021528594347101552,0.12347339444062258
Tax3,0.0,1.0,0.19393939393939397,0.01818181818181818,10.0,12.0,10.0,0.011792633694891702,1.2149870472188332e-05,1.1191931087839448e-05,4.129109044274792e-05,0.0009463174945231678,0.9469771476446011
Tax4,0.0,1.0,0.19393939393939397,0.01818181818181818,7.0,2.0,10.0,0.09903965295231827,6.231173793610115e-05,9.463369525494133e-05,8.136932107439882e-05,0.0001460158000923307,0.04544088958467952
Tax5,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,32.0,10.0,0.05655260055883526,7.077759882603462e-05,8.554898845604248e-05,7.593061315725584e-05,0.00020100263648101336,0.10738331337982272
Tax6,0.0,1.0,0.19393939393939397,0.01818181818181818,13.0,1.0,10.0,0.06682306672052193,8.627832848508931e-05,8.098371513401576e-05,1.6351545916126554e-05,0.00024679159542638696,0.15896436961815735
Tax7,0.0,1.0,0.19393939393939397,0.01818181818181818,12.0,12.0,10.0,0.041864069879303266,3.176698483755833e-05,8.923074363574638e-05,3.763676002047906e-05,0.0002842855716751024,0.2012011651694826
Tax8,0.0,1.0,0.19393939393939397,0.01818181818181818,14.0,16.0,10.0,0.06844400899163389,7.219707301272079e-05,1.6403622717943053e-05,9.229765697033126e-05,0.00034822571938359026,0.27322945388365893
Tax9,1.0,25.0,2.5,0.2777777777777778,14.0,35.0,10.0,0.03305623023133976,5.8060589345212636e-05,6.388568939485238e-05,8.26086808891257e-05,0.00018444225792194877,0.08872812144147163
Tax10,1.0,25.0,2.5,0.2777777777777778,12.0,6.0,10.0,0.09990091753387796,1.1225794523158869e-05,7.871011767132659e-05,1.1243398931882266e-05,0.00028946625674580164,0.20703718359269332
Tax11,1.0,25.0,2.5,0.2777777777777778,12.0,19.0,10.0,0.023748185048335133,1.4622975370971619e-05,4.6239678227272604e-05,1.9042782840922215e-05,0.00030805522008650745,0.22797756716055703
